Date,Adj Close,Close,High,Low,Open,Volume
2026-01-02,36275.6484375,36275.6484375,36306.80078125,35540.8984375,35559.5,4452500
2026-01-05,36050.05078125,36050.05078125,36464.5,35923.55078125,36392.94921875,3890900
2026-01-06,35849.1484375,35849.1484375,36039.5,35668.19921875,35992.69921875,2536900
2026-01-07,35763.5,35763.5,35872.94921875,35630.3984375,35801.1484375,2318000
2026-01-08,34729.6484375,34729.6484375,35785.8515625,34662.8984375,35720.25,3207500
2026-01-09,34409.30078125,34409.30078125,34951.75,34284.19921875,34736.3984375,3882000
2026-01-12,34473.55078125,34473.55078125,34517.94921875,33899.3515625,34404.75,3407500
2026-01-13,34416.69921875,34416.69921875,34705.8984375,34177.8984375,34630.0,3178000
2026-01-14,34622.25,34622.25,34811.75,34328.6484375,34364.0,3078700
2026-01-16,34346.3515625,34346.3515625,34745.30078125,34246.8515625,34614.3515625,4120700
2026-01-19,34116.80078125,34116.80078125,34550.19921875,34007.1015625,34294.6484375,2905700
2026-01-20,33360.0,33360.0,34156.80078125,33284.69921875,34097.6015625,3422200
2026-01-21,33370.05078125,33370.05078125,33623.8984375,32983.3984375,33290.19921875,3932300
2026-01-22,33747.0,33747.0,33861.44921875,33539.6015625,33623.55078125,2682900
2026-01-23,33098.30078125,33098.30078125,33867.30078125,33055.30078125,33867.30078125,3613100
2026-01-27,33293.1015625,33293.1015625,33410.0,32890.30078125,33252.44921875,4559400
2026-01-28,34685.44921875,34685.44921875,34745.94921875,33424.1484375,33434.30078125,4788500
2026-01-29,35335.19921875,35335.19921875,35427.3515625,34757.75,34890.1015625,4598500
2026-01-30,35138.05078125,35138.05078125,35233.8984375,34827.8515625,35220.1015625,4013300
2026-02-02,34613.30078125,34613.30078125,34690.6484375,33708.19921875,34042.0,3480600
2026-02-03,35657.55078125,35657.55078125,36087.1015625,35256.1484375,35939.55078125,5105400
2026-02-04,36370.3515625,36370.3515625,36422.30078125,35669.44921875,35787.80078125,6930500
2026-02-05,36230.3515625,36230.3515625,36478.25,36078.19921875,36435.80078125,4535800
2026-02-06,36451.69921875,36451.69921875,36496.19921875,36077.8984375,36215.25,3115800
2026-02-09,36578.8515625,36578.8515625,36646.69921875,36415.05078125,36597.55078125,2835600
2026-02-10,36671.0,36671.0,36767.3515625,36534.05078125,36672.0,2762600
2026-02-11,36657.25,36657.25,36669.94921875,36305.1015625,36634.6015625,3809700
2026-02-12,36452.6484375,36452.6484375,36767.3515625,36276.5,36693.8515625,3763400
2026-02-13,35709.8984375,35709.8984375,36168.55078125,35678.1015625,36154.0,3090100
2026-02-16,36386.75,36386.75,36430.5,35589.44921875,35699.3984375,3088800
2026-02-17,36388.44921875,36388.44921875,36412.75,36172.3515625,36370.8515625,2406100
2026-02-18,36517.1015625,36517.1015625,36576.44921875,36203.6484375,36377.69921875,2021400
2026-02-19,36088.0,36088.0,36670.75,35990.1015625,36598.69921875,2776000
2026-02-20,36581.1484375,36581.1484375,36670.8515625,36089.3515625,36092.0,2971500
2026-02-23,36741.55078125,36741.55078125,36782.05078125,36505.6015625,36782.05078125,2571500
2026-02-24,37028.1015625,37028.1015625,37120.3984375,36583.6015625,36649.55078125,3102800
2026-02-25,37118.6015625,37118.6015625,37306.5,36927.94921875,37122.3984375,2976300
2026-02-26,37181.80078125,37181.80078125,37265.55078125,36969.1484375,37154.30078125,2707300
2026-02-27,37045.19921875,37045.19921875,37303.8515625,36917.8984375,37116.6015625,4571500
2026-03-02,36453.3984375,36453.3984375,36756.75,35972.69921875,36014.3515625,5567200
2026-03-04,35589.6015625,35589.6015625,36044.25,35492.44921875,36010.3515625,5514400
2026-03-05,36273.8515625,36273.8515625,36409.8984375,35755.75,35765.3515625,4843100
2026-03-06,36319.6015625,36319.6015625,36606.55078125,36160.0,36320.8515625,3740000
2026-03-09,35657.75,35657.75,35942.6484375,35289.0,35854.3984375,5185500
2026-03-10,36038.94921875,36038.94921875,36118.44921875,35719.25,36099.6015625,3759800
2026-03-11,36138.5,36138.5,36536.6015625,36070.1484375,36167.19921875,4115700
2026-03-12,36834.3515625,36834.3515625,37007.1015625,35838.80078125,36077.05078125,7703200
2026-03-13,36071.8515625,36071.8515625,37116.6484375,35996.1015625,36922.3984375,5231800
2026-03-16,35682.05078125,35682.05078125,36317.25,35258.5,36101.8984375,5563800
2026-03-17,35980.80078125,35980.80078125,36087.0,35617.69921875,35846.6015625,4504900
2026-03-18,36141.94921875,36141.94921875,36277.75,35969.05078125,36065.8515625,5740400
2026-03-19,35639.3515625,35639.3515625,36137.3984375,35527.1015625,35752.8515625,11257100
2026-03-20,35908.30078125,35908.30078125,36500.30078125,35851.1015625,35914.55078125,8521600
2026-03-23,34839.44921875,34839.44921875,35713.80078125,34648.5,35681.1484375,5801500
