Date,Adj Close,Close,High,Low,Open,Volume
2026-01-02,28803.650390625,28803.650390625,28867.05078125,28486.55078125,28548.25,605400
2026-01-05,28894.150390625,28894.150390625,29179.099609375,28806.94921875,28869.650390625,498600
2026-01-06,28922.349609375,28922.349609375,28997.30078125,28812.55078125,28923.44921875,515100
2026-01-07,28692.400390625,28692.400390625,28938.650390625,28501.099609375,28919.94921875,339100
2026-01-08,28414.94921875,28414.94921875,28662.0,28357.599609375,28639.25,378100
2026-01-09,28087.650390625,28087.650390625,28516.0,28034.849609375,28380.0,513600
2026-01-12,28011.75,28011.75,28165.55078125,27492.650390625,28055.44921875,399500
2026-01-13,27915.099609375,27915.099609375,28159.55078125,27694.599609375,28154.349609375,332100
2026-01-14,27721.849609375,27721.849609375,27932.349609375,27635.69921875,27893.80078125,314300
2026-01-16,27596.25,27596.25,27977.150390625,27516.25,27642.44921875,587900
2026-01-19,27632.44921875,27632.44921875,27709.5,27418.150390625,27615.55078125,585300
2026-01-20,26948.099609375,26948.099609375,27751.150390625,26850.05078125,27635.69921875,508500
2026-01-21,26871.25,26871.25,27107.099609375,26602.94921875,26777.599609375,544900
2026-01-22,27110.19921875,27110.19921875,27453.349609375,26954.650390625,27153.849609375,487900
2026-01-23,26804.55078125,26804.55078125,27230.849609375,26766.69921875,27171.05078125,589300
2026-01-27,26554.0,26554.0,26728.80078125,26218.30078125,26619.05078125,648600
2026-01-28,26737.599609375,26737.599609375,26781.69921875,26236.69921875,26530.349609375,571000
2026-01-29,26555.400390625,26555.400390625,26775.349609375,26170.44921875,26763.0,522100
2026-01-30,26750.349609375,26750.349609375,26812.150390625,26253.55078125,26287.30078125,510300
2026-02-02,26749.150390625,26749.150390625,26784.69921875,26006.69921875,26177.69921875,526000
2026-02-03,27500.30078125,27500.30078125,28095.849609375,27271.80078125,28088.099609375,1020500
2026-02-04,27825.400390625,27825.400390625,27932.400390625,27427.400390625,27565.599609375,549000
2026-02-05,27664.5,27664.5,27882.94921875,27463.75,27880.25,455300
2026-02-06,27519.55078125,27519.55078125,27643.44921875,27307.55078125,27602.55078125,582700
2026-02-09,27791.44921875,27791.44921875,27819.75,27479.05078125,27673.94921875,478800
2026-02-10,28173.19921875,28173.19921875,28279.849609375,27771.099609375,27866.25,845500
2026-02-11,28538.69921875,28538.69921875,28811.25,28296.19921875,28351.900390625,1372700
2026-02-12,28504.05078125,28504.05078125,28615.05078125,28360.099609375,28607.150390625,925600
2026-02-13,28234.30078125,28234.30078125,28503.150390625,28161.25,28305.55078125,712400
2026-02-16,28028.19921875,28028.19921875,28308.05078125,27928.30078125,28204.150390625,336100
2026-02-17,28174.55078125,28174.55078125,28197.900390625,27866.599609375,27991.349609375,398300
2026-02-18,28327.599609375,28327.599609375,28376.80078125,28085.599609375,28202.650390625,325500
2026-02-19,27734.0,27734.0,28496.849609375,27670.44921875,28348.80078125,412300
2026-02-20,27846.80078125,27846.80078125,27933.849609375,27617.44921875,27734.69921875,408300
2026-02-23,28077.0,28077.0,28159.30078125,27913.94921875,27974.05078125,382100
2026-02-24,27950.0,27950.0,27991.94921875,27772.94921875,27932.5,426900
2026-02-25,28466.5,28466.5,28574.25,27917.5,27969.150390625,435400
2026-02-26,28693.400390625,28693.400390625,28719.599609375,28459.44921875,28556.849609375,408300
2026-02-27,28158.849609375,28158.849609375,28687.0,28094.25,28623.19921875,639000
2026-03-02,27540.099609375,27540.099609375,27951.849609375,27133.55078125,27196.400390625,651600
2026-03-04,26867.150390625,26867.150390625,27012.55078125,26607.19921875,26979.400390625,740600
2026-03-05,27366.80078125,27366.80078125,27471.44921875,26909.80078125,27053.5,612700
2026-03-06,27076.400390625,27076.400390625,27321.05078125,27042.400390625,27247.19921875,486000
2026-03-09,25965.94921875,25965.94921875,26478.44921875,25733.5,26478.44921875,640900
2026-03-10,26770.55078125,26770.55078125,26840.69921875,26200.400390625,26462.75,605200
2026-03-11,25926.0,25926.0,26851.650390625,25875.19921875,26761.75,693900
2026-03-12,25098.0,25098.0,25721.30078125,25046.0,25688.30078125,927900
2026-03-13,24195.099609375,24195.099609375,24918.25,24100.599609375,24784.19921875,861300
2026-03-16,24599.099609375,24599.099609375,24718.75,23863.400390625,24085.94921875,625000
2026-03-17,25117.099609375,25117.099609375,25195.44921875,24518.69921875,24703.900390625,584800
2026-03-18,25598.849609375,25598.849609375,25703.69921875,25250.80078125,25262.25,478700
2026-03-19,24509.900390625,24509.900390625,25093.150390625,24380.55078125,25078.80078125,568700
2026-03-20,24715.900390625,24715.900390625,24955.55078125,24611.30078125,24635.75,842300
2026-03-23,23934.75,23934.75,24433.44921875,23865.650390625,24433.44921875,670900
2026-03-24,24515.25,24515.25,24728.30078125,24055.44921875,24458.44921875,681100
2026-03-25,25058.599609375,25058.599609375,25267.94921875,24814.5,24875.55078125,525400
2026-03-27,24351.94921875,24351.94921875,24847.69921875,24301.400390625,24834.25,819000
2026-03-30,23769.599609375,23769.599609375,24193.099609375,23708.19921875,23969.099609375,1149800
2026-04-01,24238.849609375,24238.849609375,24646.5,24132.400390625,24557.400390625,1366800
2026-04-02,24089.650390625,24089.650390625,24171.19921875,23560.099609375,23929.05078125,795000
2026-04-06,24350.400390625,24350.400390625,24379.75,23896.44921875,24151.94921875,696500
2026-04-07,24373.30078125,24373.30078125,24430.099609375,23839.099609375,24227.75,500800
2026-04-08,26002.94921875,26002.94921875,26113.69921875,25295.94921875,25396.849609375,1800500
2026-04-09,25901.900390625,25901.900390625,26133.650390625,25643.349609375,25971.5,837600
2026-04-10,26640.900390625,26640.900390625,26678.55078125,26002.44921875,26018.30078125,890000
2026-04-13,26084.55078125,26084.55078125,26231.400390625,25910.44921875,26041.599609375,907800
2026-04-15,26483.099609375,26483.099609375,26709.599609375,26304.099609375,26462.150390625,713600
2026-04-16,26382.75,26382.75,26729.400390625,26233.30078125,26649.0,520200
2026-04-17,26435.0,26435.0,26581.55078125,26190.30078125,26319.19921875,568500
2026-04-20,26522.30078125,26522.30078125,26630.150390625,26173.849609375,26447.099609375,409900
2026-04-21,26625.19921875,26625.19921875,26746.099609375,26493.900390625,26509.75,586700
2026-04-22,26450.25,26450.25,26718.599609375,26416.80078125,26521.30078125,863600
2026-04-23,25828.099609375,25828.099609375,26278.94921875,25746.69921875,26270.400390625,806900
2026-04-24,25652.849609375,25652.849609375,26035.599609375,25559.80078125,25867.849609375,376000
2026-04-27,26053.150390625,26053.150390625,26126.25,25776.0,25779.900390625,456800
2026-04-28,25790.349609375,25790.349609375,26219.25,25762.05078125,26076.44921875,503500
2026-04-29,26085.75,26085.75,26484.80078125,25935.44921875,25936.849609375,542400
2026-04-30,25917.599609375,25917.599609375,26034.0,25441.55078125,25855.44921875,645400
2026-05-04,26027.69921875,26027.69921875,26496.650390625,25810.099609375,26133.5,544100
2026-05-05,26192.099609375,26192.099609375,26253.19921875,25805.80078125,26033.150390625,425300
2026-05-06,26823.0,26823.0,26871.900390625,26278.94921875,26502.150390625,708700
2026-05-07,27339.94921875,27339.94921875,27533.19921875,26878.150390625,26983.150390625,949100
