month,inflation_yoy_pct,measure,unit,provenance,source,source_url,compiled_at
2026-01,2.75,CPI headline (YoY),percent,manual_compiled,MOSPI,https://www.mospi.gov.in/themes/product/9-consumer-price-index-cpi,2026-07-21T03:01:46
2026-02,3.21,CPI headline (YoY),percent,manual_compiled,MOSPI,https://www.mospi.gov.in/themes/product/9-consumer-price-index-cpi,2026-07-21T03:01:46
2026-03,3.4,CPI headline (YoY),percent,manual_compiled,MOSPI,https://www.mospi.gov.in/themes/product/9-consumer-price-index-cpi,2026-07-21T03:01:46
2026-04,3.48,CPI headline (YoY),percent,manual_compiled,MOSPI,https://www.mospi.gov.in/themes/product/9-consumer-price-index-cpi,2026-07-21T03:01:46
2026-05,3.93,CPI headline (YoY),percent,manual_compiled,MOSPI,https://www.mospi.gov.in/themes/product/9-consumer-price-index-cpi,2026-07-21T03:01:46
2026-06,4.38,CPI headline (YoY),percent,manual_compiled,MOSPI,https://www.mospi.gov.in/themes/product/9-consumer-price-index-cpi,2026-07-21T03:01:46
