period,cad_usd_bn,cad_pct_gdp,note,provenance,source,source_url,compiled_at
Q4-FY26,7.1,0.7,Surplus; Jan-Mar 2026 (pre/early-war quarter),manual_compiled,RBI,https://www.business-standard.com/markets/capital-market-news/india-posts-usd-7-1-billion-current-account-surplus-in-q4-fy26-says-rbi-126060900331_1.html,2026-07-21T03:01:46
FY26,-25.2,-0.6,Full-year deficit Apr2025-Mar2026,manual_compiled,RBI,https://www.business-standard.com/markets/capital-market-news/india-posts-usd-7-1-billion-current-account-surplus-in-q4-fy26-says-rbi-126060900331_1.html,2026-07-21T03:01:46
