Date,Adj Close,Close,High,Low,Open,Volume
2026-01-01,5110.5,5110.5,5175.0,5062.5,5081.0,744719
2026-01-02,5106.0,5106.0,5136.0,5095.0,5119.0,464130
2026-01-05,5102.5,5102.5,5140.0,5075.0,5106.0,634271
2026-01-06,5002.5,5002.5,5140.5,4990.0,5100.0,856866
2026-01-07,4951.0,4951.0,5045.0,4919.0,5010.0,1157501
2026-01-08,4906.5,4906.5,4992.5,4893.5,4959.0,1303022
2026-01-09,4844.0,4844.0,4924.0,4833.0,4924.0,1257421
2026-01-12,4850.0,4850.0,4869.0,4771.0,4814.5,691685
2026-01-13,4759.5,4759.5,4848.5,4725.0,4832.5,1339651
2026-01-14,4733.0,4733.0,4756.5,4701.0,4730.0,1059301
2026-01-15,4733.0,4733.0,4733.0,4733.0,4733.0,0
2026-01-16,4740.0,4740.0,4757.5,4700.0,4700.0,1079566
2026-01-19,4941.5,4941.5,4952.5,4764.5,4764.5,2171150
2026-01-20,4790.0,4790.0,4941.5,4775.0,4941.5,681597
2026-01-21,4857.5,4857.5,4952.0,4750.0,4784.5,1740395
2026-01-22,4909.0,4909.0,4932.5,4880.0,4905.0,1281956
2026-01-23,4704.5,4704.5,4878.0,4686.5,4878.0,3668328
2026-01-27,4769.0,4769.0,4784.0,4643.5,4700.0,1255311
2026-01-28,4749.0,4749.0,4794.5,4707.0,4777.0,1075513
2026-01-29,4621.0,4621.0,4749.0,4585.5,4749.0,1751127
2026-01-30,4596.5,4596.5,4661.0,4551.0,4580.0,1567278
2026-02-02,4687.0,4687.0,4699.5,4582.7998046875,4610.0,1309113
2026-02-03,4946.2001953125,4946.2001953125,5007.7998046875,4834.5,4950.0,2915322
2026-02-04,4960.7001953125,4960.7001953125,4977.60009765625,4897.2001953125,4945.0,1026215
2026-02-05,4932.2001953125,4932.2001953125,4939.89990234375,4780.2998046875,4845.0,1189049
2026-02-06,4909.39990234375,4909.39990234375,4931.2998046875,4870.0,4911.0,463970
2026-02-09,4964.10009765625,4964.10009765625,4978.10009765625,4888.7001953125,4895.0,538869
2026-02-10,4960.39990234375,4960.39990234375,4996.0,4929.0,4950.0,1115549
2026-02-11,5013.7998046875,5013.7998046875,5056.0,4945.60009765625,4990.0,527542
2026-02-12,4982.7998046875,4982.7998046875,4999.89990234375,4930.7001953125,4999.89990234375,971327
2026-02-13,4929.2001953125,4929.2001953125,4988.0,4900.60009765625,4966.0,232702
2026-02-16,4940.7998046875,4940.7998046875,4976.2998046875,4903.0,4929.0,425143
2026-02-17,4977.0,4977.0,5008.2001953125,4937.5,4970.0,263838
2026-02-18,4980.39990234375,4980.39990234375,4999.39990234375,4960.60009765625,4974.10009765625,201866
2026-02-19,4815.10009765625,4815.10009765625,4939.0,4790.10009765625,4939.0,1546005
2026-02-20,4854.60009765625,4854.60009765625,4880.0,4783.89990234375,4785.0,819782
2026-02-23,4862.2001953125,4862.2001953125,4871.7001953125,4821.0,4850.0,321229
2026-02-24,4850.2998046875,4850.2998046875,4862.2001953125,4806.0,4812.0,406380
2026-02-25,4947.39990234375,4947.39990234375,4974.89990234375,4850.2998046875,4855.0,831769
2026-02-26,4933.5,4933.5,4976.2998046875,4899.89990234375,4975.0,467220
2026-02-27,4827.2001953125,4827.2001953125,4920.0,4792.0,4890.0,1199332
