dataset,rows,coverage,status,problems,note,built_at
war_events,30,2026-07-13 … 2026-04-16,ok,,"30 curated milestones, ID-linked to raw scrape. Channel scores SIGNED (neg=de-escalation).",2026-07-21T03:22:06
hormuz_status,14,2026-02-27 … 2026-07-16,ok,,"14 status periods, contiguous. est_lost_bpd = analyst estimate, not source-measured.",2026-07-21T03:22:06
